For that you must talk to Toshur, across the Plaza.	For that you must talk to Toshur, across the Plaza.
The apothecary shop is right here in this Plaza.	The apothecary shop is right here in this Plaza.
You are blessed with a tongue of fortune.  You need pay me but 200 centimes.	You are blessed with a tongue of fortune.  You need pay me but 200 centimes.
Three dinars are the worth of the pot.	Three dinars are the worth of the pot.
For that you must talk to Sloree and Scoree, across the Plaza.	For that you must talk to Sloree and Scoree, across the Plaza.
And they ask, "What is a Hero?",    though the answer's very clear, He's the one who faces danger    when the darkness hovers near.	And they ask, "What is a Hero?",    though the answer's very clear, He's the one who faces danger    when the darkness hovers near.
He will face the fiercest foe    when another needs his aid, He will dare to defy Death    even though he is afraid, He works not just for glory    and he does it not for gain, But because he knows that others    will be spared a greater pain.	He will face the fiercest foe    when another needs his aid, He will dare to defy Death    even though he is afraid, He works not just for glory    and he does it not for gain, But because he knows that others    will be spared a greater pain.
He won't always follow orders,    for he dares to answer, "Why?", And unless he likes the reason,    he refuses to comply, He will brave the battle boldly    even though he may not win, He will face his fate unflinching,    for he is a Paladin.	He won't always follow orders,    for he dares to answer, "Why?", And unless he likes the reason,    he refuses to comply, He will brave the battle boldly    even though he may not win, He will face his fate unflinching,    for he is a Paladin.
And they ask "What is a Hero?",    though the answer's evident, He's the one who faces death    knowing that his life's well spent.	And they ask "What is a Hero?",    though the answer's evident, He's the one who faces death    knowing that his life's well spent.
You pick up the purse and open it.  It has 6 dinars and 25 centimes.  It also has a small scrap of paper with the words, "Quelling Chaos from Shapeir, Driving Darkness from Raseir".	You pick up the purse and open it.  It has 6 dinars and 25 centimes.  It also has a small scrap of paper with the words, "Quelling Chaos from Shapeir, Driving Darkness from Raseir".
At the west end of the Plaza of the Fighters is the entrance to the local Guild Hall.	At the west end of the Plaza of the Fighters is the entrance to the local Guild Hall.
The door is barred from the inside.	The door is barred from the inside.
Move to the door first.	Move to the door first.
Left Arrow . . try to step forward Right Arrow . hold your position Up Arrow . . . correct by leaning right Down Arrow . . correct by leaning left	Left Arrow . . try to step forward Right Arrow . hold your position Up Arrow . . . correct by leaning right Down Arrow . . correct by leaning left
A tightrope walker and his equipment take center stage in the Plaza today.	A tightrope walker and his equipment take center stage in the Plaza today.
No more, Effendi.  I have lost too much money on you.	No more, Effendi.  I have lost too much money on you.
First, Effendi, you must wager with me!	First, Effendi, you must wager with me!
Rest, recover before you seek to cross the rope again.   You might do yourself an injury, and I cannot permit a brave man to harm himself for my gain.	Rest, recover before you seek to cross the rope again.   You might do yourself an injury, and I cannot permit a brave man to harm himself for my gain.
I have lost all the money I can lose.	I have lost all the money I can lose.
Yes, yes.  Climb up and win the ten dinars	Yes, yes.  Climb up and win the ten dinars
Yes, yes.  Climb up and win the five dinars	Yes, yes.  Climb up and win the five dinars
Well then, Effendi, where is your dinar?	Well then, Effendi, where is your dinar?
You don't have one to give.	You don't have one to give.
We'll wager no more.  I have lost all the money I can lose.	We'll wager no more.  I have lost all the money I can lose.
But Effendi, I have your dinar.  But climb up and cross the rope, and %s dinars are yours.	But Effendi, I have your dinar.  But climb up and cross the rope, and %s dinars are yours.
So, Effendi, let us see if you can walk the rope again.	So, Effendi, let us see if you can walk the rope again.
Did you wish to wager, Effendi?	Did you wish to wager, Effendi?
I know not.  Of what do you speak, Effendi?	I know not.  Of what do you speak, Effendi?
And since there is a wind today, I will give you an additional five dinars when you cross to the other side.	And since there is a wind today, I will give you an additional five dinars when you cross to the other side.
You are most brave.  Now let us see if you are skilled as well.	You are most brave.  Now let us see if you are skilled as well.
It is so simple, even you could do it!  You have but to climb the rope.	It is so simple, even you could do it!  You have but to climb the rope.
You collect your 10 Dinars.	You collect your 10 Dinars.
You collect your 5 Dinars.	You collect your 5 Dinars.
We seem to have an expert among us.	We seem to have an expert among us.
It appears you are not yet skilled enough to make me pay, but with practice you will surely be as agile as I.	It appears you are not yet skilled enough to make me pay, but with practice you will surely be as agile as I.
At the west end of the Plaza of the Fighters is the entrance to the local Guild Hall.  Sitting near the entrance is a rather large Liontaur.	At the west end of the Plaza of the Fighters is the entrance to the local Guild Hall.  Sitting near the entrance is a rather large Liontaur.
May you have a pleasant day as well.	May you have a pleasant day as well.
The Elemental of Earth was a difficult adversary.  You showed yourself to be a great Hero.	The Elemental of Earth was a difficult adversary.  You showed yourself to be a great Hero.
The Elemental of Earth is a fearsome adversary.	The Elemental of Earth is a fearsome adversary.
The Elemental of Earth would be a fearsome adversary to face.	The Elemental of Earth would be a fearsome adversary to face.
Soulforge was given to you to deal with the Earth Elemental.	Soulforge was given to you to deal with the Earth Elemental.
It is not wise to try to bargain with Rakeesh.	It is not wise to try to bargain with Rakeesh.
You do not have Rakeesh' sword.	You do not have Rakeesh' sword.
Go and defeat the Earth Elemental before returning my sword.	Go and defeat the Earth Elemental before returning my sword.
The Elemental of Earth will soon destroy the city.  It seems that you will need to be a hero again.	The Elemental of Earth will soon destroy the city.  It seems that you will need to be a hero again.
To deal with the Elemental, you must understand its Nature and you will need to use a magic sword against it.	To deal with the Elemental, you must understand its Nature and you will need to use a magic sword against it.
You take the Flaming Sword.	You take the Flaming Sword.
Good Day.  A most pleasant one for those such as myself who like the heat, although most humans might find it hot.  Simba here, is more like a lion. He is having a wonderful time.	Good Day.  A most pleasant one for those such as myself who like the heat, although most humans might find it hot.  Simba here, is more like a lion. He is having a wonderful time.
You hand the Flaming Sword back to Rakeesh.	You hand the Flaming Sword back to Rakeesh.
Thank You, It was a fine battle.	Thank You, It was a fine battle.
The Sultan (May He Rule Forever) must be a wise man, for he allows those like myself to make a living without interference.	The Sultan (May He Rule Forever) must be a wise man, for he allows those like myself to make a living without interference.
I do not know about such things, but I have heard rumors that the Money Changer has some connections.	I do not know about such things, but I have heard rumors that the Money Changer has some connections.
There have been rumors about ill omens around the city	There have been rumors about ill omens around the city
Ah, the Brave One returns!  Will you take my challenge?	Ah, the Brave One returns!  Will you take my challenge?
Shall we challenge one another, Hero of the Kattas?	Shall we challenge one another, Hero of the Kattas?
Will no one dare to walk the rope?  Will no one take my challenge?	Will no one dare to walk the rope?  Will no one take my challenge?
In all this city, is there not one of you who is skilled as I?  Will no one wager with me?	In all this city, is there not one of you who is skilled as I?  Will no one wager with me?
I will challenge any who dare to walk this rope!  Risk but a dinar, and you may gain five!	I will challenge any who dare to walk this rope!  Risk but a dinar, and you may gain five!
This day of all days is a special day for those of us who dare walk the rope.  It is a day when the wind adds spice to the challenge!	This day of all days is a special day for those of us who dare walk the rope.  It is a day when the wind adds spice to the challenge!
The wind is high and so is the rope.  Hero, will you dare to wager?	The wind is high and so is the rope.  Hero, will you dare to wager?
The day is bright, and the land is free of Elementals because of your courage, Hero.  Will you not improve your skills by taking my challenge?	The day is bright, and the land is free of Elementals because of your courage, Hero.  Will you not improve your skills by taking my challenge?
Ah, you of great skill, do you think you can rest on your laurels?  I challenge you again to face the rope and see if it was skill or mere luck that you crossed it before!	Ah, you of great skill, do you think you can rest on your laurels?  I challenge you again to face the rope and see if it was skill or mere luck that you crossed it before!
Do not be discouraged.  Such things take practice.	Do not be discouraged.  Such things take practice.
That was much better.  You are starting to learn balance.	That was much better.  You are starting to learn balance.
Ah, you are learning.  You will soon be making a profit off me.	Ah, you are learning.  You will soon be making a profit off me.
You are getting too good for me.  Surely I will be forced to pay you next time.	You are getting too good for me.  Surely I will be forced to pay you next time.
You almost made it.  It was mere bad luck that you did not cross this time.  The dinars were nearly yours.	You almost made it.  It was mere bad luck that you did not cross this time.  The dinars were nearly yours.
The challenge is greater today, for the wind must be countered with skill.	The challenge is greater today, for the wind must be countered with skill.
Since the wind is high, I am willing to offer ten dinars to the one who can cross this rope.	Since the wind is high, I am willing to offer ten dinars to the one who can cross this rope.
It takes a mere dinar to take my challenge.	It takes a mere dinar to take my challenge.
The wind is blowing such that it is hard to balance against it.  Even I have troubles on such a day.	The wind is blowing such that it is hard to balance against it.  Even I have troubles on such a day.
You realize that they don't carry Hero sizes at this stand.	You realize that they don't carry Hero sizes at this stand.
You really don't see anything you want.	You really don't see anything you want.
For that you must talk to Mirak, who is across the Plaza.	For that you must talk to Mirak, who is across the Plaza.
The Weapon Shop of Issur is right here in this Plaza.	The Weapon Shop of Issur is right here in this Plaza.
It is my pleasure.	It is my pleasure.
My nephew Shameen the Innkeeper said you were smooth of tongue!   Very well, you may have the bag for only 20 centimes.	My nephew Shameen the Innkeeper said you were smooth of tongue!   Very well, you may have the bag for only 20 centimes.
With a family as large as mine, I must make what little profit I can.  The bag sells for fifty centimes.	With a family as large as mine, I must make what little profit I can.  The bag sells for fifty centimes.
Since what you say is said so well, it must be that I will sell it for only fifty centimes.	Since what you say is said so well, it must be that I will sell it for only fifty centimes.
Alas, I can sell you a waterskin for no less than 1 dinar.	Alas, I can sell you a waterskin for no less than 1 dinar.
For that you must talk to Kiram, who is across the Plaza.	For that you must talk to Kiram, who is across the Plaza.
I am honored to serve you.	I am honored to serve you.
The Plaza of the Fighters bustles with the activities of the local merchants.	The Plaza of the Fighters bustles with the activities of the local merchants.
There are no bellows here to get.	There are no bellows here to get.
You're not quite close enough to get the bellows.	You're not quite close enough to get the bellows.
It is good to know that such Heroes as yourself are around when misfortune strikes.	It is good to know that such Heroes as yourself are around when misfortune strikes.
For that you must talk to Tiram, across the Plaza.	For that you must talk to Tiram, across the Plaza.
I have no other suitable pins, Effendi.	I have no other suitable pins, Effendi.
It has a value of 500 dinars.  Would you care to bargain?	It has a value of 500 dinars.  Would you care to bargain?
No other pin is as fine as the one you already obtained from Sashanan.	No other pin is as fine as the one you already obtained from Sashanan.
There is a beautiful sapphire pin in Sashanan's display case.	There is a beautiful sapphire pin in Sashanan's display case.
The Plaza of the Palace bustles with the activities of the local merchants.	The Plaza of the Palace bustles with the activities of the local merchants.
Jewelry of the finest gems inlaid in rings of gold and silver, necklaces of beautiful stones, things of beauty which will last forever--all of which I sell.	Jewelry of the finest gems inlaid in rings of gold and silver, necklaces of beautiful stones, things of beauty which will last forever--all of which I sell.
I am called Sashanan, the "Diamond of the Desert."	I am called Sashanan, the "Diamond of the Desert."
For that you must talk to Sashanan, across the Plaza.	For that you must talk to Sashanan, across the Plaza.
It is but a token of our gratitude.	It is but a token of our gratitude.
It is a symbol by which all Katta who look upon it will know you are a true hero.	It is a symbol by which all Katta who look upon it will know you are a true hero.
Only a friend can see it upon you.	Only a friend can see it upon you.
The city is destroyed! Great job, Hero!	The city is destroyed! Great job, Hero!
Such a destructive thing in the Plazas means a terrible loss of business and lives.  When water is thrown at it, the thing of fire merely leaps away!	Such a destructive thing in the Plazas means a terrible loss of business and lives.  When water is thrown at it, the thing of fire merely leaps away!
The Katta know but little magics, practical magics.  Perhaps you might ask at the shop of Magic.	The Katta know but little magics, practical magics.  Perhaps you might ask at the shop of Magic.
The palace is where the Sultan Harun al-Rashid resides.	The palace is where the Sultan Harun al-Rashid resides.
It is told that a Hero from the north will come to restore the Katta to their home in Raseir.  So did Shema and Shameen travel to find such a one.	It is told that a Hero from the north will come to restore the Katta to their home in Raseir.  So did Shema and Shameen travel to find such a one.
The Money Changer will give you the dinars and centimes with which you need to purchase things in this land.  She is on Dinar Tarik.	The Money Changer will give you the dinars and centimes with which you need to purchase things in this land.  She is on Dinar Tarik.
The poetry of the poet is most illuminating.	The poetry of the poet is most illuminating.
I would be honored to sell you some flowers, Hero of the North.  They are a mere 10 centimes.	I would be honored to sell you some flowers, Hero of the North.  They are a mere 10 centimes.
His name is Sitar.  He is shy, but a very good musician.  He performs at the Inn sometimes in the evening.	His name is Sitar.  He is shy, but a very good musician.  He performs at the Inn sometimes in the evening.
The Bazaar of Shapeir is in every plaza of this city.	The Bazaar of Shapeir is in every plaza of this city.
You are most skilled at bargaining.  They shall be but half the price!	You are most skilled at bargaining.  They shall be but half the price!
It is most unfortunate that I cannot reduce my price.	It is most unfortunate that I cannot reduce my price.
