Since you speak so convincingly, then it will cost you a centime less.	Since you speak so convincingly, then it will cost you a centime less.
No, it is not right that such a speech be rewarded so little.  It should be twenty centimes less.	No, it is not right that such a speech be rewarded so little.  It should be twenty centimes less.
Twenty centimes??  Do you wish to simply give away our food?  Five centimes!	Twenty centimes??  Do you wish to simply give away our food?  Five centimes!
Ten centimes for such a hero.	Ten centimes for such a hero.
Very well.  For you we will make a special price.  It will cost you ten centimes less than our normal price.	Very well.  For you we will make a special price.  It will cost you ten centimes less than our normal price.
The prices we charge are but a pittance of what our food is worth.	The prices we charge are but a pittance of what our food is worth.
The finest food in all the bazaar is also the cheapest.	The finest food in all the bazaar is also the cheapest.
A Falafel is pita bread stuffed with spicy roasted lamb.  A hearty meal.	A Falafel is pita bread stuffed with spicy roasted lamb.  A hearty meal.
You will find it most filling.	You will find it most filling.
The price is but 70 centimes for such a delicacy.	The price is but 70 centimes for such a delicacy.
It is cheap at any price.	It is cheap at any price.
The bread is first fried in olive oil.	The bread is first fried in olive oil.
Then honey is poured upon it.	Then honey is poured upon it.
It is only 30 centimes.	It is only 30 centimes.
The taste will sell itself.	The taste will sell itself.
Our fresh dates are stuffed with the finest of almonds, roasted over the brazier carefully and then glazed in honey.  We personally stuff the dates ourselves.	Our fresh dates are stuffed with the finest of almonds, roasted over the brazier carefully and then glazed in honey.  We personally stuff the dates ourselves.
We are very fastidious when working, and you will find no Katta hairs in the dates.	We are very fastidious when working, and you will find no Katta hairs in the dates.
For two handsful, you need pay only thirty centimes.	For two handsful, you need pay only thirty centimes.
You cannot find a better treat in all the bazaar.	You cannot find a better treat in all the bazaar.
Our honey is made by bees that have supped upon the nectar of spring wildflowers.	Our honey is made by bees that have supped upon the nectar of spring wildflowers.
It has been but freshly gathered.	It has been but freshly gathered.
It makes a delicious glaze for almonds.	It makes a delicious glaze for almonds.
It is wonderful poured over hot bread.	It is wonderful poured over hot bread.
The saurus meat is first dipped in spicy paprika.	The saurus meat is first dipped in spicy paprika.
Then it is quickly cooked over the brazier there.	Then it is quickly cooked over the brazier there.
It is an experience found nowhere but in Shapeir.	It is an experience found nowhere but in Shapeir.
It is something you will never forget.	It is something you will never forget.
This will cost but 70 centimes.	This will cost but 70 centimes.
Surely but a small amount for such a treat.	Surely but a small amount for such a treat.
Our lizard jerky rations are very cheap.	Our lizard jerky rations are very cheap.
But delicious!	But delicious!
They travel very well.	They travel very well.
Surely an adventurer gets hungry at times.	Surely an adventurer gets hungry at times.
You can get five meals for but a dinar.	You can get five meals for but a dinar.
You never need be hungry again!	You never need be hungry again!
The jerky is prepared with only the finest, most succulent, rock-flattened lizards.	The jerky is prepared with only the finest, most succulent, rock-flattened lizards.
Our special blend of preservatives lets the rich, full-bodied lizard flavor come through.	Our special blend of preservatives lets the rich, full-bodied lizard flavor come through.
I am Scoree.	I am Scoree.
I am Sloree.	I am Sloree.
We are lifemates.	We are lifemates.
What you would call husband and wife.	What you would call husband and wife.
May you be much the better for it.	May you be much the better for it.
May it please you well.	May it please you well.
That is amazing.	That is amazing.
You are beyond doubt a hero!	You are beyond doubt a hero!
The finest in leatherwork will I sell to you, Hero from a distant land.  My leather is noted the world over for its beauty and durability.	The finest in leatherwork will I sell to you, Hero from a distant land.  My leather is noted the world over for its beauty and durability.
Every Hero has a need for belts and boots and waterskins.  May it be that I sell you something, and I shall be most pleased to serve you.	Every Hero has a need for belts and boots and waterskins.  May it be that I sell you something, and I shall be most pleased to serve you.
The talk of the bazaar is that something strange stalks the Plaza of the Palace.	The talk of the bazaar is that something strange stalks the Plaza of the Palace.
It is said that the alleyways are not safe to travel today, for the very earth is starting to move.	It is said that the alleyways are not safe to travel today, for the very earth is starting to move.
My waterskins can not be filled today, for the very fountain is beset with an elemental of water, and no one can get even a drink.	My waterskins can not be filled today, for the very fountain is beset with an elemental of water, and no one can get even a drink.
All Katta rejoice that you now go to Raseir, for we know you will restore our homeland.	All Katta rejoice that you now go to Raseir, for we know you will restore our homeland.
The belts and boots I sell are made from dyed Saurus skin. The very ones you wear came from my stand.  I sell many other items made from leather, but the one thing that I sell which every adventurer needs most in this land is a waterskin.	The belts and boots I sell are made from dyed Saurus skin. The very ones you wear came from my stand.  I sell many other items made from leather, but the one thing that I sell which every adventurer needs most in this land is a waterskin.
The belts and boots are cut and shaped for the customer and take about a week to create.	The belts and boots are cut and shaped for the customer and take about a week to create.
The waterskin will hold enough water for a day's journey in the desert.  It can be refilled in the fountain.  It is often the only thing between a traveler and certain death when one explores around the city.  It will cost you but one dinar.	The waterskin will hold enough water for a day's journey in the desert.  It can be refilled in the fountain.  It is often the only thing between a traveler and certain death when one explores around the city.  It will cost you but one dinar.
Cloth of the finest of weaves and the loveliest of colors, clothes to entice the touch, veils to reveal and conceal, all this have I and more!  You can attest to how comfortable and conforming my wares are, for you wear them well!	Cloth of the finest of weaves and the loveliest of colors, clothes to entice the touch, veils to reveal and conceal, all this have I and more!  You can attest to how comfortable and conforming my wares are, for you wear them well!
See how fine my clothes look upon you!  Make sure all who ask about what you wear know that I, Kiram the Cloth Merchant, made them for you!	See how fine my clothes look upon you!  Make sure all who ask about what you wear know that I, Kiram the Cloth Merchant, made them for you!
My second cousin on my mother's side, Tiram, was unable to set up his carpet stand today, for the wind was blowing far too fiercely!	My second cousin on my mother's side, Tiram, was unable to set up his carpet stand today, for the wind was blowing far too fiercely!
My brother by marriage, Tashtari the brass merchant, had something huge chase him in the streets as he was going to his work this morning!	My brother by marriage, Tashtari the brass merchant, had something huge chase him in the streets as he was going to his work this morning!
My aunt, Toshar the potter, was nearly caught by the Elemental which now inhabits the fountain!	My aunt, Toshar the potter, was nearly caught by the Elemental which now inhabits the fountain!
My cousin, Sashanan the Jeweler, has something from the Katta for you!  Seek his stand in the Plaza of the Palace.	My cousin, Sashanan the Jeweler, has something from the Katta for you!  Seek his stand in the Plaza of the Palace.
