You don't dare while the shopkeepers watching.  He might throw a pie at you.	You don't dare while the shopkeepers watching.  He might throw a pie at you.
You don't say?  And I sure won't.	You don't say?  And I sure won't.
You have my last pair there, Claire, and I haven't got a spare.	You have my last pair there, Claire, and I haven't got a spare.
What do I look like, a department store?	What do I look like, a department store?
I fear you can't procure that here, Dear.	I fear you can't procure that here, Dear.
Well, we can bargain all you like, Mike, but that won't change the fact that you already bought the only pair I had.	Well, we can bargain all you like, Mike, but that won't change the fact that you already bought the only pair I had.
By golly, it is!  There's a silver lining on the underside of Keapon's cloud.	By golly, it is!  There's a silver lining on the underside of Keapon's cloud.
The fact that the clouds on the ceiling don't move leads you to the conclusion that they were not painted on with an air brush.	The fact that the clouds on the ceiling don't move leads you to the conclusion that they were not painted on with an air brush.
Talk about topsy-turvy.  The sun shines up from the floor onto the clouds above.	Talk about topsy-turvy.  The sun shines up from the floor onto the clouds above.
No sweat, Babette.	No sweat, Babette.
It's sad, Dad, but if you need to climb to the sublime, you need a rope, Dope.	It's sad, Dad, but if you need to climb to the sublime, you need a rope, Dope.
I happen to have a Magic Rope for sale, direct from some Hindoo who did the best he kin do.	I happen to have a Magic Rope for sale, direct from some Hindoo who did the best he kin do.
I see by your outfit that you know some magic. You see by my outfit that I know some, too. We can see by our outfits that we both know magic. I guess that we two must eschew the Hoodoo.	I see by your outfit that you know some magic. You see by my outfit that I know some, too. We can see by our outfits that we both know magic. I guess that we two must eschew the Hoodoo.
Hello sailor, new in town?  So how ya doin, Bruin?	Hello sailor, new in town?  So how ya doin, Bruin?
Had any WITty conversation?  Been Chanting with the Enchantress yet?	Had any WITty conversation?  Been Chanting with the Enchantress yet?
Seen all the sights, Justin, or just citing all the scenes?	Seen all the sights, Justin, or just citing all the scenes?
Sell you a spell, Nell?	Sell you a spell, Nell?
It sure LOOKED real!	It sure LOOKED real!
You looks awfully familiar and familiarly awful.	You looks awfully familiar and familiarly awful.
Haven't you been here before?	Haven't you been here before?
You still don't have the skill, Phil, so I'll spare you the bill.	You still don't have the skill, Phil, so I'll spare you the bill.
Say Jay, what the hey?  The rope you've got is one and the same.	Say Jay, what the hey?  The rope you've got is one and the same.
Well, the tag says 15 dinars, but I guess I can take 14 for 'em...	Well, the tag says 15 dinars, but I guess I can take 14 for 'em...
Naaaaaah, I guessed wrong.  15 dinars it is, then.	Naaaaaah, I guessed wrong.  15 dinars it is, then.
Whew!  Smooth talking, Dude.  Ya got the gift for gab, Tab.	Whew!  Smooth talking, Dude.  Ya got the gift for gab, Tab.
Tell ya what I'm going ta do.  Seein' as you beein' a Heero and all, I'll reduce the price by %d whole simoleons.	Tell ya what I'm going ta do.  Seein' as you beein' a Heero and all, I'll reduce the price by %d whole simoleons.
(Dinars, that is.  Dough, Flo.  Shapeir Buck an Ear.)	(Dinars, that is.  Dough, Flo.  Shapeir Buck an Ear.)
If you want to do some dealing, then pick a better deck.	If you want to do some dealing, then pick a better deck.
I laid my cards on the table, Grable, and if you're able, then ante up.	I laid my cards on the table, Grable, and if you're able, then ante up.
Pay or belay, Jay.	Pay or belay, Jay.
Ah, I have that here, Dear.	Ah, I have that here, Dear.
