You see no strongBox here.	You see no strongBox here.
There's something heavy preventing the trap door from opening...	There's something heavy preventing the trap door from opening...
Having traded in your old sword and paid 100 dinars, you now have one of Issur's swords.  For all his bragging, he does make a fine weapon.	Having traded in your old sword and paid 100 dinars, you now have one of Issur's swords.  For all his bragging, he does make a fine weapon.
With your skill in fast talking, you manage to bargain him down to 80 dinars.  Having traded in your old sword and paid the money, you now have one of Issur's swords.  For all his bragging, he does make a fine weapon.	With your skill in fast talking, you manage to bargain him down to 80 dinars.  Having traded in your old sword and paid the money, you now have one of Issur's swords.  For all his bragging, he does make a fine weapon.
He seemed thoroughly unimpressed by your bargaining skill.  Having traded in your old sword and paid 100 dinars, you now have one of Issur's swords.  For all his bragging, he does make a fine weapon.	He seemed thoroughly unimpressed by your bargaining skill.  Having traded in your old sword and paid 100 dinars, you now have one of Issur's swords.  For all his bragging, he does make a fine weapon.
He gets the bellows down for you and tosses them to you.	He gets the bellows down for you and tosses them to you.
I don't have any use for foreign coin, go see the money changer.	I don't have any use for foreign coin, go see the money changer.
It's open already.	It's open already.
It's closed already.	It's closed already.
You don't have the skill or the tools.	You don't have the skill or the tools.
The strongbox is already open.	The strongbox is already open.
The strongbox is already closed.	The strongbox is already closed.
The small wooden trap door is now accessible.	The small wooden trap door is now accessible.
You can just see the small wooden trap door underneath the anvil.	You can just see the small wooden trap door underneath the anvil.
The trap door is securely attached to the floor.	The trap door is securely attached to the floor.
The trap door is already open.	The trap door is already open.
The trap door is already closed.	The trap door is already closed.
That's funny -- your Open spell doesn't seem to work on an already open door.  Oh, yeah, that's right -- it isn't supposed to.  You resolve to be more diligent about your studies in the future.	That's funny -- your Open spell doesn't seem to work on an already open door.  Oh, yeah, that's right -- it isn't supposed to.  You resolve to be more diligent about your studies in the future.
An interesting idea, but you don't have any oil.	An interesting idea, but you don't have any oil.
Try going over to the anvil first.	Try going over to the anvil first.
You can't move the anvil -- the trap door is in your way.	You can't move the anvil -- the trap door is in your way.
The anvil is in its proper place.	The anvil is in its proper place.
Issur's heavy iron anvil doubles as a table for arm-wrestling.	Issur's heavy iron anvil doubles as a table for arm-wrestling.
You think it would take all your strength to even move the anvil.  Taking it is out of the question.	You think it would take all your strength to even move the anvil.  Taking it is out of the question.
You have the bellows.  What else do you want?	You have the bellows.  What else do you want?
You have the bellows.	You have the bellows.
You'll have to wrestle me for them.	You'll have to wrestle me for them.
That is very interesting.	That is very interesting.
You talk much, but say little.	You talk much, but say little.
The bellows is a sign of my trade.  What about it?	The bellows is a sign of my trade.  What about it?
Hey, what are friends for?  Let me get them down for you.	Hey, what are friends for?  Let me get them down for you.
He gets the bellows down for you and you put it away.  Good thing your spell lasted long enough.	He gets the bellows down for you and you put it away.  Good thing your spell lasted long enough.
If you want my bellows for something, you've got to earn it.  If you beat me at arm wrestling, you can have it.  If I win, you give me 20 dinars.	If you want my bellows for something, you've got to earn it.  If you beat me at arm wrestling, you can have it.  If I win, you give me 20 dinars.
