Welcome, %s	Welcome, %s
How did the leg of Rakeesh get injured?	How did the leg of Rakeesh get injured?
What is Ja'afar's most crucial role for Omar?	What is Ja'afar's most crucial role for Omar?
What is the Element most appropriate to the owner of the Magic Shop?	What is the Element most appropriate to the owner of the Magic Shop?
Which of the elements do the Wizards of WIT command?	Which of the elements do the Wizards of WIT command?
What is the companion of Erasmus?	What is the companion of Erasmus?
My first is the first, My second the last, Next comes Myself, Then back to the end, And beginning again. Who am I?	My first is the first, My second the last, Next comes Myself, Then back to the end, And beginning again. Who am I?
It is best not to anger a powerful Magic User.	It is best not to anger a powerful Magic User.
As you gaze about the home of the Astrologer, you are reminded of a small boy's playroom, bunk bed, toys, and all.	As you gaze about the home of the Astrologer, you are reminded of a small boy's playroom, bunk bed, toys, and all.
As I have said - you have lived a most interesting life.	As I have said - you have lived a most interesting life.
You realize you don't have even a full Dinar to give.	You realize you don't have even a full Dinar to give.
Come in anyway, and welcome.  I am Abu Al-Njun and I am the "Astrologer of the Stars and Omens."	Come in anyway, and welcome.  I am Abu Al-Njun and I am the "Astrologer of the Stars and Omens."
Water rules this day, both lack of it, and the surfeit of it.  You should either invest heavily in wine or waterwings.	Water rules this day, both lack of it, and the surfeit of it.  You should either invest heavily in wine or waterwings.
 What might I call you?	 What might I call you?
It is well that you have come, then.  The Signs show that we will soon need one here.	It is well that you have come, then.  The Signs show that we will soon need one here.
... then peace shall guide our planet and love ...?!	... then peace shall guide our planet and love ...?!
The portents foretell you will be deceived by darkness and become its pawn in the destruction of all this world.	The portents foretell you will be deceived by darkness and become its pawn in the destruction of all this world.
Maybe you should consider a new line of work and get out of this Hero business.  Have you considered accounting?	Maybe you should consider a new line of work and get out of this Hero business.  Have you considered accounting?
The Djinn are ruled by the Moon.  In a short while, the Moon will pass between the Scorpion's claws and the Dragon's teeth.  The Moon will be weakened, and the Djinn made strong.	The Djinn are ruled by the Moon.  In a short while, the Moon will pass between the Scorpion's claws and the Dragon's teeth.  The Moon will be weakened, and the Djinn made strong.
The Sultan (May His Name Be Printed On The Stars!) consults me regularly.	The Sultan (May His Name Be Printed On The Stars!) consults me regularly.
The sign of the Emir Arus Al-Din got crossed with that of the Saurus.  He has been missing ever since.	The sign of the Emir Arus Al-Din got crossed with that of the Saurus.  He has been missing ever since.
The planet Salim is a sign of Safety.  Amal is the ruling planet of Hope.  With those missing from the sky, we are indeed in trouble.  Make sure you keep in touch with your insurance agent.	The planet Salim is a sign of Safety.  Amal is the ruling planet of Hope.  With those missing from the sky, we are indeed in trouble.  Make sure you keep in touch with your insurance agent.
Astrology is based on the principle of: "As above, So below."  The Heavens reflect the Earth, and vice versa.	Astrology is based on the principle of: "As above, So below."  The Heavens reflect the Earth, and vice versa.
The Planet known as the Eye has crossed the sign of the Shadow.  The Shadow is watching us, and who knows what evil lurks?  I sure don't.	The Planet known as the Eye has crossed the sign of the Shadow.  The Shadow is watching us, and who knows what evil lurks?  I sure don't.
The casting of darts is the Astrologer's version of the Scientific Method.	The casting of darts is the Astrologer's version of the Scientific Method.
Testing...	Testing...
I cannot pass judgement upon the candidate until I have worked with him for some months.  I am unwilling to have someone I do not know well as my initiate.	I cannot pass judgement upon the candidate until I have worked with him for some months.  I am unwilling to have someone I do not know well as my initiate.
So, a Want-to-Be Wizard seeks me for a master?  I am not interested in half-trained novices.	So, a Want-to-Be Wizard seeks me for a master?  I am not interested in half-trained novices.
However, should you actually become a Wizard, you might be of use to me.  There is much I can teach you.	However, should you actually become a Wizard, you might be of use to me.  There is much I can teach you.
Do you actually request such a ... whimsical Wizard to be your sponsor?	Do you actually request such a ... whimsical Wizard to be your sponsor?
Let me see... %s... Ah, yes.  The young Hero who was so bright.	Let me see... %s... Ah, yes.  The young Hero who was so bright.
Yes, but the keyword is "good."  Heh, heh.	Yes, but the keyword is "good."  Heh, heh.
... Wizard's Institute of Technocery, you must first prove you are magically and mentally worthy.  You will be presented with a choice of three objects.  Using the Spells at your command, you must chose the correct object, move it to the stand, and cause it to ring using only three spells.  The choice of the first two spells should be self-evident, and the third is also...	... Wizard's Institute of Technocery, you must first prove you are magically and mentally worthy.  You will be presented with a choice of three objects.  Using the Spells at your command, you must chose the correct object, move it to the stand, and cause it to ring using only three spells.  The choice of the first two spells should be self-evident, and the third is also...
Erasmus!	Erasmus!
Oh, all right. Well, good luck, young hero, and remember the joke about the man who grew more mellow as he grew balder ...	Oh, all right. Well, good luck, young hero, and remember the joke about the man who grew more mellow as he grew balder ...
Very well then, young hero, please step into the dark room.  Purely a formality.  Don't worry about a thing.	Very well then, young hero, please step into the dark room.  Purely a formality.  Don't worry about a thing.
You have entered a very strange place  The path you walk upon seems to be carved from ivory.  The walls around you seem carved of marble.	You have entered a very strange place  The path you walk upon seems to be carved from ivory.  The walls around you seem carved of marble.
Between the walls and the path is a gap through which you view total darkness when you look down.  When you look up, you see the same limitless black.	Between the walls and the path is a gap through which you view total darkness when you look down.  When you look up, you see the same limitless black.
You have a funny feeling you aren't in Shapeir anymore.	You have a funny feeling you aren't in Shapeir anymore.
You have been walking through halls hung with the portraits of many Wizards.  At last, you come to some pictures that you recognize.	You have been walking through halls hung with the portraits of many Wizards.  At last, you come to some pictures that you recognize.
You hear several voices.	You hear several voices.
You have shown yourself to be resourceful in your use of spells under simple conditions.  To become a Wizard, you must prove that you are capable of using magic under time-critical and life-threatening conditions.	You have shown yourself to be resourceful in your use of spells under simple conditions.  To become a Wizard, you must prove that you are capable of using magic under time-critical and life-threatening conditions.
You will be presented with a series of four tests.  They will require all your intelligence and magic.  Should you fail, your very life may be endangered.  Will you accept the challenge and walk the path of Wizardry?	You will be presented with a series of four tests.  They will require all your intelligence and magic.  Should you fail, your very life may be endangered.  Will you accept the challenge and walk the path of Wizardry?
You have proven yourself worthy of the Wizard's Institute of Technocery and Erasmus' faith.  Congratulations.  You are now a Wizard Initiate.	You have proven yourself worthy of the Wizard's Institute of Technocery and Erasmus' faith.  Congratulations.  You are now a Wizard Initiate.
Now you have outgrown the childish Hero business and can devote yourself to years of metaphysical musings and esoteric exercises designed to invigorate your intellect and to manipulate your mental and magical muscles.	Now you have outgrown the childish Hero business and can devote yourself to years of metaphysical musings and esoteric exercises designed to invigorate your intellect and to manipulate your mental and magical muscles.
