This was Keapon's biggest fan until things took a turn for the worse.  Keapon grew tired of being blade for a fool.	This was Keapon's biggest fan until things took a turn for the worse.  Keapon grew tired of being blade for a fool.
the fan	the fan
Don't watch this so much.  You'll ruin your eyes!	Don't watch this so much.  You'll ruin your eyes!
the television	the television
You don't want to know.	You don't want to know.
the octopus-like thing with wings	the octopus-like thing with wings
The Michelin Man?  The StayPuft MarshMallow Man?  No, it's the Doughbury Pills Boy!	The Michelin Man?  The StayPuft MarshMallow Man?  No, it's the Doughbury Pills Boy!
the Pillsboory Doeboy	the Pillsboory Doeboy
Nuns are often in the habit of wearing these with their habit.	Nuns are often in the habit of wearing these with their habit.
the nun hat	the nun hat
the space ship	the space ship
These orbs look vaguely familiar...	These orbs look vaguely familiar...
the orbs	the orbs
It's a Flippy Flier Model XLR8 Frisbee.	It's a Flippy Flier Model XLR8 Frisbee.
the frisbee	the frisbee
You can burn two pieces of toast at once with this baby.   Now, if only someone would invent electricity.  And maybe an outlet and extension cord.	You can burn two pieces of toast at once with this baby.   Now, if only someone would invent electricity.  And maybe an outlet and extension cord.
the toaster	the toaster
Ah ha!  So the windbag's been pushin' whoopee cushions!	Ah ha!  So the windbag's been pushin' whoopee cushions!
the whoopee cushions	the whoopee cushions
These cupboards are closed, but undoubtedly contain more oddments.	These cupboards are closed, but undoubtedly contain more oddments.
the cupboards	the cupboards
The label on the sleeve says "Commando Cody Flying Suit".	The label on the sleeve says "Commando Cody Flying Suit".
the Commando Cody suit	the Commando Cody suit
You suddenly feel compelled to have a nice day.	You suddenly feel compelled to have a nice day.
the happy face	the happy face
It is a green box for holding red pencils.	It is a green box for holding red pencils.
the green box	the green box
It is a hand puppet bearing the name Rosella.	It is a hand puppet bearing the name Rosella.
the rosella puppet	the rosella puppet
It is a dragon hand puppet.	It is a dragon hand puppet.
the dragon puppet	the dragon puppet
It is a hand puppet labeled "Cookie Monster".  How odd!	It is a hand puppet labeled "Cookie Monster".  How odd!
the Cookie Monster puppet	the Cookie Monster puppet
It is a hand puppet that is either Cecil the Seasick Sea Serpent, Ollie the Dragon, or Zippy the Pinhead, depending on which way you squint.	It is a hand puppet that is either Cecil the Seasick Sea Serpent, Ollie the Dragon, or Zippy the Pinhead, depending on which way you squint.
the Cecil/Ollie/Zippy puppet	the Cecil/Ollie/Zippy puppet
Kareem:	Kareem:
Abdul:	Abdul:
Jabbar:	Jabbar:
Kamar:	Kamar:
Baddhi Slama:	Baddhi Slama:
Having discovered your presence, it takes but a short search to discover your hiding place.	Having discovered your presence, it takes but a short search to discover your hiding place.
Clean up after yourself	Clean up after yourself
You'll have to think faster than that.	You'll have to think faster than that.
Hiding is a Lost Art	Hiding is a Lost Art
An experienced thief knows when not to press his luck.	An experienced thief knows when not to press his luck.
Can't Take a Hint?	Can't Take a Hint?
While running for home.  Looks like a squeeze play!  You'll never get to first base if you don't remember the basics.   Thieves' Handbook rule number one: When in doubt, don't.	While running for home.  Looks like a squeeze play!  You'll never get to first base if you don't remember the basics.   Thieves' Handbook rule number one: When in doubt, don't.
Caught stealing...	Caught stealing...
What a blitz!  It looks like you lost yardage on that play.  Brothers: 6, %s: 0. 	What a blitz!  It looks like you lost yardage on that play.  Brothers: 6, %s: 0. 
Quarterback sack...	Quarterback sack...
the man	the man
The man looks to be dazed for some reason.	The man looks to be dazed for some reason.
You kill me!	You kill me!
Kamar	Kamar
He is wearing the uniform of a palace guard.  This is bad.  Very bad.	He is wearing the uniform of a palace guard.  This is bad.  Very bad.
Jabbar	Jabbar
the pots on the shelf	the pots on the shelf
As the pieces of pottery hurtle towards you, you realize that you can't possibly catch them all.  Several fall to the floor, crashing loudly and alerting the old man.  The pottery was worthless, so your sentence is less severe than it might have been.  (They cut only one of your hands off.)	As the pieces of pottery hurtle towards you, you realize that you can't possibly catch them all.  Several fall to the floor, crashing loudly and alerting the old man.  The pottery was worthless, so your sentence is less severe than it might have been.  (They cut only one of your hands off.)
Give Me a Hand	Give Me a Hand
the large rug	the large rug
The large rug is too large to steal.  It simply covers what's beneath it.	The large rug is too large to steal.  It simply covers what's beneath it.
the door to the alley	the door to the alley
The heavy wooden door leads to the alley.	The heavy wooden door leads to the alley.
the drapes	the drapes
Drapes cover a doorway which undoubtedly leads to the old man's bed chamber.	Drapes cover a doorway which undoubtedly leads to the old man's bed chamber.
As it strikes the drapes, the sound frightens the old man.  He calls for his sons, who are angry.  VERY angry.  And violent.  VERY, VERY violent.	As it strikes the drapes, the sound frightens the old man.  He calls for his sons, who are angry.  VERY angry.  And violent.  VERY, VERY violent.
Painful, VERY Painful!	Painful, VERY Painful!
the trapdoor	the trapdoor
There appears to be a trapdoor built into the boards of the floor.	There appears to be a trapdoor built into the boards of the floor.
Huh.  Must've been my imagination again.	Huh.  Must've been my imagination again.
Huh.  I'm hearing things again, I guess.	Huh.  I'm hearing things again, I guess.
Huh.  Kamar, your father is becoming senile.	Huh.  Kamar, your father is becoming senile.
Yes, Father.	Yes, Father.
the small rug	the small rug
The small rug has an interesting pattern but not enough value to be worth lugging around.	The small rug has an interesting pattern but not enough value to be worth lugging around.
the wardrobe doors	the wardrobe doors
The wardrobe doors are beautifully carved, but the hinges look a bit rusty.	The wardrobe doors are beautifully carved, but the hinges look a bit rusty.
The wardrobe doors are beautifully carved, but well-worn.	The wardrobe doors are beautifully carved, but well-worn.
No Stealing Aloud!	No Stealing Aloud!
the silver tea service	the silver tea service
The tea service is made of silver and looks very valuable.	The tea service is made of silver and looks very valuable.
the doorway	the doorway
The doorway is the only way out of the room.	The doorway is the only way out of the room.
the shackles that bound you	the shackles that bound you
The shackles that bound you hang limply from the wall.	The shackles that bound you hang limply from the wall.
your fighting equipment	your fighting equipment
